,,,
,,,
,,,
REG,DEP,COM,C16_MENPSEUL
84,1,1336,127
84,1,1337,109
84,1,1338,140
84,1,1339,105
84,1,1341,22
84,1,1342,36
84,1,1343,149
84,1,1344,740
84,1,1345,252
84,1,1346,92
84,1,1347,126
84,1,1348,344
84,1,1349,25
84,1,1350,320
84,1,1351,134
84,1,1352,60
84,1,1353,109
84,1,1354,342
84,1,1354,580
84,1,1354,679
84,1,1355,60
84,1,1356,21
84,1,1357,76
84,1,1358,50
84,1,1359,15
84,1,1360,197
84,1,1361,109
84,1,1362,45
84,1,1363,225
84,1,1364,103
84,1,1365,85
84,1,1366,59
84,1,1367,90
84,1,1368,63
84,1,1369,69
84,1,1370,566
84,1,1371,112
84,1,1372,40
84,1,1373,122
84,1,1374,211
84,1,1375,73
84,1,1376,490
84,1,1378,204
84,1,1379,67
84,1,1380,101
84,1,1381,70
84,1,1382,20
84,1,1383,150
84,1,1384,406
84,1,1385,85
84,1,1386,120
84,1,1387,16
84,1,1388,201
84,1,1389,187
84,1,1390,96
84,1,1391,46
84,1,1392,40
84,1,1393,40
84,1,1396,170
84,1,1397,107
84,1,1398,105
84,1,1399,259
84,1,1400,30
84,1,1401,196
84,1,1402,103
84,1,1403,173
84,1,1404,34
84,1,1405,131
84,1,1406,25
84,1,1407,186
84,1,1408,81
84,1,1410,24
84,1,1411,45
84,1,1412,49
84,1,1413,5
84,1,1414,29
84,1,1415,60
84,1,1416,183
84,1,1417,71
84,1,1418,49
84,1,1419,774
84,1,1420,309
84,1,1421,94
84,1,1422,156
84,1,1423,46
84,1,1424,85
84,1,1425,30
84,1,1426,305
84,1,1427,159
84,1,1427,788
84,1,1428,10
84,1,1429,50
84,1,1430,82
84,1,1431,176
84,1,1432,49
84,1,1433,20
84,1,1434,28
84,1,1435,183
84,1,1436,80
84,1,1437,20
84,1,1439,10
84,1,1441,59
84,1,1442,45
84,1,1443,696
84,1,1444,142
84,1,1445,45
84,1,1446,107
84,1,1447,131
84,1,1448,42
84,1,1449,60
84,1,1450,280
84,1,1451,124
84,1,1451,583
84,1,1452,146
84,1,1453,50
84,1,1454,108
84,1,1456,15
84,1,1457,383
32,2,2001,55
32,2,2002,55
32,2,2003,85
32,2,2004,25
32,2,2005,36
32,2,2006,39
32,2,2007,20
32,2,2008,25
32,2,2009,40
32,2,2010,15
32,2,2011,115
32,2,2012,10
32,2,2013,30
32,2,2014,66
32,2,2015,5
32,2,2016,16
32,2,2017,30
32,2,2018,282
32,2,2019,50
32,2,2020,55
32,2,2021,15
32,2,2022,45
32,2,2023,15
32,2,2024,5
32,2,2025,25
32,2,2027,27
32,2,2028,281
32,2,2029,25
32,2,2030,26
32,2,2031,94
32,2,2032,25
32,2,2033,20
32,2,2034,10
32,2,2035,25
32,2,2036,10
32,2,2037,110
32,2,2038,10
32,2,2039,10
32,2,2040,20
32,2,2041,90
32,2,2042,50
32,2,2043,5
32,2,2044,5
32,2,2046,69
32,2,2047,10
32,2,2048,20
32,2,2049,71
32,2,2050,34
32,2,2051,50
32,2,2052,26
32,2,2053,65
32,2,2054,30
32,2,2055,16
32,2,2056,25
32,2,2057,156
32,2,2058,64
32,2,2059,415
32,2,2060,32
32,2,2061,16
32,2,2062,10
32,2,2063,41
32,2,2064,570
32,2,2065,55
32,2,2066,20
32,2,2067,20
32,2,2068,10
32,2,2069,21
32,2,2070,49
32,2,2071,55
32,2,2072,25
32,2,2073,50
32,2,2074,47
32,2,2075,15
32,2,2076,16
32,2,2077,51
32,2,2078,14
32,2,2079,21
32,2,2080,35
32,2,2081,37
32,2,2082,15
32,2,2083,69
32,2,2084,25
32,2,2085,52
32,2,2086,82
32,2,2087,5
32,2,2088,5
32,2,2089,137
32,2,2090,15
32,2,2091,5
32,2,2093,153
32,2,2094,38
32,2,2095,860
32,2,2096,20
32,2,2097,25
32,2,2098,35
32,2,2099,15
32,2,2100,15
32,2,2101,20
32,2,2102,20
32,2,2103,180
32,2,2104,15
32,2,2105,20
32,2,2106,71
32,2,2107,10
32,2,2108,20
32,2,2109,56
32,2,2110,308
32,2,2111,70
32,2,2112,65
32,2,2114,181
32,2,2115,32
32,2,2116,20
32,2,2117,0
32,2,2118,10
32,2,2119,36
32,2,2120,15
32,2,2121,20
32,2,2122,15
32,2,2123,30
32,2,2124,75
32,2,2125,20
32,2,2126,72
32,2,2127,14
32,2,2128,198
32,2,2129,5
32,2,2130,20
32,2,2131,171
32,2,2132,21
32,2,2133,56
32,2,2134,100
32,2,2135,125
32,2,2136,10
32,2,2137,10
32,2,2138,15
32,2,2139,35
32,2,2140,40
32,2,2141,317
32,2,2142,10
32,2,2143,25
32,2,2144,11
32,2,2145,41
32,2,2146,9
32,2,2148,20
32,2,2149,0
32,2,2150,10
32,2,2151,15
32,2,2152,5
32,2,2153,53
32,2,2154,24
32,2,2155,25
32,2,2156,20
32,2,2157,86
32,2,2158,25
32,2,2159,25
32,2,2160,70
32,2,2162,15
32,2,2163,388
32,2,2164,31
32,2,2165,229
32,2,2166,40
32,2,2167,68
32,2,2168,1306
32,2,2168,407
32,2,2168,65
32,2,2168,423
32,2,2168,293
32,2,2168,266
32,2,2168,255
32,2,2169,10
32,2,2170,15
32,2,2171,10
32,2,2172,10
32,2,2173,855
32,2,2173,926
32,2,2173,539
32,2,2174,65
32,2,2175,9
32,2,2176,10
32,2,2177,16
32,2,2178,5
32,2,2179,35
32,2,2180,65
32,2,2181,15
32,2,2182,16
32,2,2183,21
32,2,2184,40
32,2,2185,29
32,2,2186,160
32,2,2187,145
32,2,2188,15
32,2,2189,36
32,2,2190,45
32,2,2191,45
32,2,2192,32
32,2,2193,11
32,2,2194,26
32,2,2195,50
32,2,2196,30
32,2,2197,37
32,2,2198,25
32,2,2199,48
32,2,2200,5
32,2,2201,20
32,2,2203,154
32,2,2204,15
32,2,2205,16
32,2,2206,10
32,2,2207,15
32,2,2208,15
32,2,2209,80
32,2,2210,40
32,2,2211,30
32,2,2212,75
32,2,2213,30
32,2,2214,0
32,2,2215,79
32,2,2216,25
32,2,2217,134
32,2,2218,70
32,2,2219,15
32,2,2220,65
32,2,2221,15
32,2,2222,0
32,2,2223,32
32,2,2224,41
32,2,2225,5
32,2,2226,179
32,2,2227,15
32,2,2228,30
32,2,2229,5
32,2,2230,30
32,2,2231,79
32,2,2232,21
32,2,2233,10
32,2,2234,10
32,2,2235,15
32,2,2236,23
32,2,2237,189
32,2,2238,198
32,2,2239,139
32,2,2240,25
32,2,2241,15
32,2,2242,85
32,2,2243,380
32,2,2244,10
32,2,2245,427
32,2,2246,54
32,2,2248,10
32,2,2249,15
32,2,2250,0
32,2,2251,5
32,2,2252,10
32,2,2253,34
32,2,2254,10
32,2,2255,19
32,2,2256,15
32,2,2257,35
32,2,2258,37
32,2,2259,30
32,2,2260,68
32,2,2261,35
32,2,2262,15
32,2,2263,10
32,2,2264,77
32,2,2265,20
32,2,2266,5
32,2,2267,27
32,2,2268,71
32,2,2269,15
32,2,2270,15
32,2,2271,21
32,2,2272,10
32,2,2273,16
32,2,2274,5
32,2,2275,46
32,2,2276,16
32,2,2277,15
32,2,2278,5
32,2,2279,56
32,2,2280,22
32,2,2281,29
32,2,2282,35
32,2,2283,27
32,2,2284,14
32,2,2286,105
32,2,2287,91
32,2,2288,46
32,2,2289,48
32,2,2290,260
32,2,2291,30
32,2,2292,182
32,2,2293,66
32,2,2294,20
32,2,2295,120
32,2,2296,95
32,2,2297,11
32,2,2298,226
32,2,2299,56
32,2,2301,25
32,2,2302,19
32,2,2303,61
32,2,2304,566
32,2,2305,533
32,2,2306,66
32,2,2307,285
32,2,2308,45
32,2,2309,50
32,2,2310,26
32,2,2311,20
32,2,2312,92
32,2,2313,45
32,2,2315,156
32,2,2316,15
32,2,2317,20
32,2,2318,196
32,2,2319,42
32,2,2320,27
32,2,2321,98
32,2,2322,30
32,2,2323,10
32,2,2324,24
32,2,2326,41
32,2,2327,15
32,2,2328,52
32,2,2329,30
32,2,2330,39
32,2,2331,15
32,2,2332,31
32,2,2333,5
32,2,2334,357
32,2,2335,20
32,2,2336,66
32,2,2337,20
32,2,2338,20
32,2,2339,65
32,2,2340,209
32,2,2340,286
32,2,2340,204
32,2,2341,26
32,2,2342,20
32,2,2343,10
32,2,2345,5
32,2,2346,70
32,2,2347,66
32,2,2349,5
32,2,2350,15
32,2,2351,16
32,2,2352,90
32,2,2353,37
32,2,2354,5
32,2,2355,72
32,2,2356,10
32,2,2357,15
32,2,2358,31
32,2,2359,118
32,2,2360,303
32,2,2361,887
32,2,2362,30
32,2,2363,56
32,2,2364,25
32,2,2366,20
32,2,2367,10
32,2,2368,50
32,2,2369,40
32,2,2370,40
32,2,2371,278
32,2,2372,32
32,2,2373,27
32,2,2374,116
32,2,2375,10
32,2,2376,23
32,2,2377,10
32,2,2378,5
32,2,2379,30
32,2,2380,5
32,2,2381,659
32,2,2381,449
32,2,2381,388
32,2,2381,235
32,2,2382,143
32,2,2383,170
32,2,2384,5
32,2,2385,15
32,2,2386,35
32,2,2387,106
32,2,2388,26
32,2,2389,64
32,2,2390,30
32,2,2391,40
32,2,2392,37
32,2,2393,10
32,2,2395,15
32,2,2396,15
32,2,2397,158
32,2,2398,21
32,2,2399,30
32,2,2400,15
32,2,2401,19
32,2,2402,5
32,2,2403,42
32,2,2404,20
32,2,2405,57
32,2,2406,10
32,2,2407,20
32,2,2408,556
32,2,2408,134
32,2,2408,194
32,2,2408,428
32,2,2408,563
32,2,2408,167
32,2,2408,557
32,2,2408,1400
32,2,2408,571
32,2,2408,5
32,2,2408,762
32,2,2408,328
32,2,2409,30
32,2,2410,25
32,2,2411,15
32,2,2412,10
32,2,2413,30
32,2,2414,29
32,2,2415,10
32,2,2416,65
32,2,2417,18
32,2,2418,25
32,2,2419,31
32,2,2420,75
32,2,2421,15
32,2,2422,95
32,2,2423,34
32,2,2424,5
32,2,2425,10
32,2,2426,55
32,2,2427,14
32,2,2428,10
32,2,2429,10
32,2,2430,186
32,2,2431,51
32,2,2432,20
32,2,2433,25
32,2,2434,25
32,2,2435,10
32,2,2438,27
32,2,2439,86
32,2,2440,21
32,2,2441,31
32,2,2442,20
32,2,2443,25
32,2,2444,9
32,2,2445,30
32,2,2446,10
32,2,2447,15
32,2,2448,10
32,2,2449,5
32,2,2450,46
32,2,2451,15
32,2,2452,15
32,2,2453,47
32,2,2454,45
32,2,2455,20
32,2,2456,41
32,2,2457,34
32,2,2458,85
32,2,2459,16
32,2,2460,25
32,2,2461,35
32,2,2462,20
32,2,2463,5
32,2,2464,31
32,2,2465,52
32,2,2466,15
32,2,2467,0
32,2,2468,335
32,2,2469,53
32,2,2470,59
32,2,2471,19
32,2,2472,41
32,2,2473,20
32,2,2474,37
32,2,2475,43
32,2,2476,63
32,2,2477,105
32,2,2478,35
32,2,2480,40
32,2,2481,34
32,2,2482,5
32,2,2483,46
32,2,2484,46
32,2,2485,10
32,2,2486,5
32,2,2487,41
32,2,2488,20
32,2,2489,26
32,2,2490,15
32,2,2491,27
32,2,2492,41
32,2,2493,39
32,2,2494,10
32,2,2495,109
32,2,2496,10
32,2,2497,107
32,2,2498,90
32,2,2499,5
32,2,2500,86
32,2,2501,9
32,2,2502,195
32,2,2503,104
32,2,2504,200
32,2,2505,25
32,2,2506,15
32,2,2507,5
32,2,2508,21
32,2,2509,10
32,2,2510,15
32,2,2511,30
32,2,2512,30
32,2,2513,26
32,2,2514,69
32,2,2515,5
32,2,2516,9
32,2,2517,38
32,2,2518,24
32,2,2519,20
32,2,2520,55
32,2,2521,105
32,2,2522,5
32,2,2523,0
32,2,2524,70
32,2,2525,65
32,2,2526,9
32,2,2527,38
32,2,2528,31
32,2,2529,25
32,2,2530,5
32,2,2531,15
32,2,2532,148
32,2,2533,27
32,2,2534,11
32,2,2535,11
32,2,2536,10
32,2,2537,15
32,2,2538,15
32,2,2539,66
32,2,2540,80
32,2,2541,40
32,2,2542,5
32,2,2543,258
32,2,2544,65
32,2,2545,21
32,2,2546,16
32,2,2547,15
32,2,2548,35
32,2,2549,92
32,2,2550,16
32,2,2551,5
32,2,2552,25
32,2,2553,25
32,2,2554,112
32,2,2555,245
32,2,2556,10
32,2,2557,16
32,2,2558,440
32,2,2559,65
32,2,2560,47
32,2,2561,15
32,2,2562,15
32,2,2563,20
32,2,2564,35
32,2,2565,30
32,2,2566,126
32,2,2567,30
32,2,2568,26
32,2,2569,50
32,2,2570,15
32,2,2571,81
32,2,2572,41
32,2,2573,5
32,2,2574,175
32,2,2575,246
32,2,2576,24
32,2,2577,10
32,2,2578,5
32,2,2579,19
32,2,2580,88
32,2,2581,25
32,2,2582,10
32,2,2583,5
32,2,2584,10
32,2,2585,10
32,2,2586,30
32,2,2587,30
32,2,2588,0
32,2,2589,20
32,2,2590,20
32,2,2591,19
32,2,2592,29
32,2,2593,80
32,2,2594,5
32,2,2595,24
32,2,2596,70
32,2,2598,58
32,2,2599,25
32,2,2600,49
32,2,2601,5
32,2,2602,206
32,2,2604,10
32,2,2605,25
32,2,2606,10
32,2,2607,5
32,2,2608,70
32,2,2609,5
32,2,2610,71
32,2,2612,10
32,2,2613,45
32,2,2614,31
32,2,2615,20
32,2,2616,15
32,2,2617,45
32,2,2618,81
32,2,2619,95
32,2,2620,51
32,2,2621,25
32,2,2622,5
32,2,2623,27
32,2,2624,37
32,2,2625,16
32,2,2626,39
32,2,2627,10
32,2,2628,15
32,2,2629,40
32,2,2631,46
32,2,2632,10
32,2,2633,5
32,2,2634,10
32,2,2635,10
32,2,2636,20
32,2,2637,31
32,2,2638,25
32,2,2639,42
32,2,2640,21
32,2,2641,21
32,2,2642,15
32,2,2643,75
32,2,2644,37
32,2,2645,47
32,2,2647,10
32,2,2648,277
32,2,2649,13
32,2,2650,35
32,2,2651,15
32,2,2652,0
32,2,2653,60
32,2,2654,5
32,2,2655,15
32,2,2656,30
32,2,2657,20
32,2,2658,20
32,2,2659,55
32,2,2660,5
32,2,2661,25
32,2,2662,44
32,2,2663,10
32,2,2664,14
32,2,2665,30
32,2,2666,155
32,2,2667,15
32,2,2668,145
32,2,2670,21
32,2,2671,26
32,2,2672,15
32,2,2673,35
32,2,2674,5
32,2,2675,14
32,2,2676,170
32,2,2677,35
32,2,2678,11
32,2,2679,10
32,2,2680,287
32,2,2681,38
32,2,2682,15
32,2,2683,26
32,2,2684,459
32,2,2685,5
32,2,2686,42
32,2,2687,20
32,2,2688,0
32,2,2689,5
32,2,2690,20
32,2,2691,681
32,2,2691,593
32,2,2691,663
32,2,2691,632
32,2,2691,576
32,2,2691,394
32,2,2691,415
32,2,2691,225
32,2,2691,265
32,2,2691,409
32,2,2691,445
32,2,2691,226
32,2,2691,422
32,2,2691,39
32,2,2691,585
32,2,2691,389
32,2,2691,527
32,2,2691,690
32,2,2691,336
32,2,2691,309
32,2,2691,311
32,2,2691,481
32,2,2691,266
32,2,2691,413
32,2,2691,270
32,2,2691,86
32,2,2691,571
32,2,2693,29
32,2,2694,55
32,2,2695,5
32,2,2696,14
32,2,2697,24
32,2,2698,0
32,2,2699,20
32,2,2701,59
32,2,2702,70
32,2,2703,101
32,2,2704,30
32,2,2705,15
32,2,2706,58
32,2,2707,24
32,2,2708,24
32,2,2709,45
32,2,2710,46
32,2,2711,16
32,2,2712,15
32,2,2713,15
32,2,2714,34
32,2,2715,15
32,2,2716,25
32,2,2717,62
32,2,2718,25
32,2,2719,265
32,2,2720,299
32,2,2721,45
32,2,2722,275
32,2,2722,202
32,2,2722,278
32,2,2722,517
32,2,2722,328
32,2,2722,549
32,2,2722,424
32,2,2722,810
32,2,2722,834
32,2,2722,202
32,2,2722,454
32,2,2722,452
32,2,2722,612
32,2,2723,10
32,2,2724,0
32,2,2725,20
32,2,2726,10
32,2,2727,31
32,2,2728,37
32,2,2729,11
32,2,2730,35
32,2,2731,10
32,2,2732,5
32,2,2733,24
32,2,2734,34
32,2,2735,5
32,2,2736,10
32,2,2737,77
32,2,2738,181
32,2,2738,159
32,2,2738,345
32,2,2738,397
32,2,2738,458
32,2,2738,554
32,2,2739,10
32,2,2740,36
32,2,2741,90
32,2,2742,15
32,2,2743,16
32,2,2744,11
32,2,2745,15
32,2,2746,70
32,2,2747,5
32,2,2748,136
32,2,2749,15
32,2,2750,65
32,2,2751,10
32,2,2752,27
32,2,2753,47
32,2,2754,20
32,2,2755,50
32,2,2756,49
32,2,2757,72
32,2,2758,320
32,2,2759,20
32,2,2760,16
32,2,2761,15
32,2,2762,20
32,2,2763,15
32,2,2764,10
32,2,2765,21
32,2,2766,30
32,2,2767,21
32,2,2768,35
32,2,2769,80
32,2,2770,85
32,2,2772,15
32,2,2773,5
32,2,2774,15
32,2,2775,97
32,2,2776,51
32,2,2777,21
32,2,2778,16
32,2,2779,15
32,2,2780,150
32,2,2781,25
32,2,2782,15
32,2,2783,15
32,2,2784,20
32,2,2785,119
32,2,2786,20
32,2,2787,29
32,2,2788,57
32,2,2789,497
32,2,2790,29
32,2,2791,33
32,2,2792,19
32,2,2793,5
32,2,2794,15
32,2,2795,286
32,2,2796,15
32,2,2797,10
32,2,2798,110
32,2,2799,30
32,2,2800,39
32,2,2801,26
32,2,2802,20
32,2,2803,19
32,2,2804,20
32,2,2805,358
32,2,2806,29
32,2,2807,46
32,2,2808,30
32,2,2809,11
32,2,2810,373
32,2,2810,596
32,2,2810,263
32,2,2810,314
32,2,2812,20
32,2,2813,26
32,2,2814,10
32,2,2815,47
32,2,2816,30
32,2,2817,15
32,2,2818,125
32,2,2819,10
32,2,2820,197
32,2,2821,60
32,2,2822,25
32,2,2823,5
32,2,2824,36
32,2,2826,37
32,2,2827,29
32,2,2828,5
32,2,2829,5
32,2,2830,116
32,2,2831,35
32,2,2832,32
32,2,2833,30
32,2,2834,14
84,3,3001,361
84,3,3002,43
84,3,3003,218
84,3,3004,30
84,3,3005,48
84,3,3006,151
84,3,3007,45
84,3,3008,50
84,3,3009,15
84,3,3010,50
84,3,3011,46
84,3,3012,34
84,3,3013,657
84,3,3014,24
84,3,3015,30
84,3,3016,11
84,3,3017,29
84,3,3018,69
84,3,3019,295
84,3,3020,35
84,3,3021,40
84,3,3022,187
84,3,3023,375
84,3,3023,405
84,3,3023,284
84,3,3023,511
84,3,3024,36
84,3,3025,185
84,3,3026,81
84,3,3027,139
84,3,3028,49
84,3,3029,100
84,3,3030,115
84,3,3031,46
84,3,3032,30
84,3,3033,20
84,3,3034,72
84,3,3035,20
84,3,3036,459
84,3,3037,42
84,3,3038,59
84,3,3039,49
84,3,3040,92
84,3,3041,70
84,3,3042,85
84,3,3043,177
84,3,3044,154
84,3,3045,89
84,3,3046,182
84,3,3047,50
84,3,3048,247
84,3,3049,33
84,3,3050,51
84,3,3051,50
84,3,3052,110
84,3,3053,215
84,3,3054,25
84,3,3055,121
84,3,3056,47
84,3,3057,30
84,3,3058,23
84,3,3059,40
84,3,3060,87
84,3,3061,40
84,3,3062,56
84,3,3063,98
84,3,3064,30
84,3,3065,81
84,3,3066,78
84,3,3067,15
84,3,3068,26
84,3,3069,61
84,3,3070,15
84,3,3071,36
84,3,3072,55
84,3,3073,70
84,3,3074,122
84,3,3075,27
84,3,3076,15
84,3,3077,20
84,3,3078,57
84,3,3079,30
84,3,3080,66
84,3,3081,30
84,3,3082,290
84,3,3082,640
84,3,3082,540
84,3,3083,71
84,3,3084,414
84,3,3085,62
84,3,3086,40
84,3,3087,104
84,3,3088,40
84,3,3089,25
84,3,3090,39
84,3,3091,48
84,3,3092,92
84,3,3093,101
84,3,3094,359
84,3,3095,675
84,3,3095,306
84,3,3095,671
84,3,3095,464
84,3,3095,200
84,3,3095,354
84,3,3096,15
84,3,3097,40
84,3,3098,823
84,3,3099,61
84,3,3100,182
84,3,3101,394
84,3,3101,575
84,3,3101,429
84,3,3102,565
84,3,3103,225
84,3,3104,192
84,3,3105,64
84,3,3106,123
84,3,3107,178
84,3,3108,45
84,3,3109,80
84,3,3110,85
84,3,3111,147
84,3,3112,100
84,3,3113,113
84,3,3114,24
84,3,3115,45
84,3,3116,45
84,3,3117,74
84,3,3118,651
84,3,3118,415
84,3,3119,65
84,3,3120,94
84,3,3121,41
84,3,3122,39
84,3,3124,25
84,3,3125,36
84,3,3126,177
84,3,3127,135
84,3,3128,362
84,3,3129,36
84,3,3130,53
84,3,3131,63
84,3,3132,97
84,3,3133,61
84,3,3134,26
84,3,3135,53
84,3,3136,20
84,3,3137,31
84,3,3138,583
84,3,3139,50
84,3,3140,135
84,3,3141,26
84,3,3142,37
84,3,3143,20
84,3,3144,30
84,3,3145,65
84,3,3146,30
84,3,3147,19
84,3,3148,35
84,3,3149,50
84,3,3150,35
84,3,3151,26
84,3,3152,45
84,3,3154,47
84,3,3155,360
84,3,3156,200
84,3,3157,99
84,3,3158,114
84,3,3159,71
84,3,3160,30
84,3,3161,165
84,3,3162,25
84,3,3163,90
84,3,3164,40
84,3,3165,275
84,3,3166,43
84,3,3167,49
84,3,3168,158
84,3,3169,35
84,3,3170,26
84,3,3171,30
84,3,3172,26
84,3,3173,148
84,3,3174,83
84,3,3175,55
84,3,3176,84
84,3,3177,46
84,3,3178,60
84,3,3179,50
84,3,3180,61
84,3,3181,75
84,3,3182,14
84,3,3183,90
84,3,3184,56
84,3,3185,1175
84,3,3185,944
84,3,3185,546
84,3,3185,470
84,3,3185,361
84,3,3185,1115
84,3,3185,293
84,3,3185,730
84,3,3185,80
84,3,3185,658
84,3,3185,347
84,3,3185,411
