CODGEO,TP6016
02,"29,8"
04,"39,0"
11,"15,7"
24,"13,2"
27,"13,1"
28,"13,7"
32,"18,3"
44,"14,5"
52,"11,0"
53,"11,1"
75,"13,7"
76,"16,9"
84,"12,7"
93,"17,2"
94,"19,6"
